event,RMSE,MSE,MAE,WAE,time
mDette_CaDENCE::cadence.fit_optim_09,0.3677,0.1352,0.2669,1.7464,7.17
mDette_CaDENCE::cadence.fit_optim_10,3.5384,12.5201,1.5062,20.3062,7.19
mDette_CaDENCE::cadence.fit_psoptim_01,4.272,18.2503,2.5295,26.7822,11.83
mDette_CaDENCE::cadence.fit_psoptim_02,3.5575,12.6559,1.9063,21.3145,11.58
mDette_CaDENCE::cadence.fit_psoptim_03,4.1031,16.8356,2.2455,24.1181,11.58
mDette_CaDENCE::cadence.fit_psoptim_04,3.6305,13.1804,1.9651,24.0948,11.61
mDette_CaDENCE::cadence.fit_psoptim_05,3.9937,15.9497,2.2046,23.7932,11.55
mDette_CaDENCE::cadence.fit_psoptim_06,3.7084,13.752,2.0055,19.9193,11.7
mDette_CaDENCE::cadence.fit_psoptim_07,3.0739,9.4488,1.6632,17.514,11.51
mDette_CaDENCE::cadence.fit_psoptim_08,4.5436,20.644,2.5018,24.5088,11.53
mDette_CaDENCE::cadence.fit_psoptim_09,3.9069,15.2639,2.0906,23.2302,11.66
mDette_CaDENCE::cadence.fit_psoptim_10,3.1481,9.9108,1.7223,20.5663,11.67
mDette_CaDENCE::cadence.fit_Rprop_01,5.1042,26.0527,3.0944,30.1063,17.55
mDette_CaDENCE::cadence.fit_Rprop_02,3.4113,11.6369,1.7407,22.4091,17.88
mDette_CaDENCE::cadence.fit_Rprop_03,3.8004,14.4428,2.6693,25.6788,17.75
mDette_CaDENCE::cadence.fit_Rprop_04,3.2639,10.6531,1.8549,21.3249,17.4
mDette_CaDENCE::cadence.fit_Rprop_05,6.8567,47.0148,2.732,77.8753,17.48
mDette_CaDENCE::cadence.fit_Rprop_06,5.0646,25.6505,3.2256,27.1304,17.41
mDette_CaDENCE::cadence.fit_Rprop_07,2.9812,8.8876,1.6313,13.8176,17.38
mDette_CaDENCE::cadence.fit_Rprop_08,9.6553,93.2255,5.0932,50.7682,17.38
mDette_CaDENCE::cadence.fit_Rprop_09,4.1026,16.8313,2.3577,25.6686,17.49
mDette_CaDENCE::cadence.fit_Rprop_10,5.9221,35.0713,3.4756,31.3905,17.28
mDette_deepdive::deepnet_gradientDescent_01,4.431,19.6338,3.2628,20.7622,7.36
mDette_deepdive::deepnet_gradientDescent_02,4.431,19.6338,3.2628,20.7622,7.41
mDette_deepdive::deepnet_gradientDescent_03,4.431,19.6338,3.2628,20.7622,7.27
mDette_deepdive::deepnet_gradientDescent_04,4.431,19.6338,3.2628,20.7622,7.36
