event,RMSE,MSE,MAE,WAE,time
mRef153_neuralnet::neuralnet_rprop+_01,3.8256,14.6349,2.806,16.5481,0.01
mRef153_neuralnet::neuralnet_rprop+_02,4.1851,17.5149,2.9405,16.6468,0.02
mRef153_neuralnet::neuralnet_rprop+_03,3.4475,11.8851,2.35,14.9019,0.02
mRef153_neuralnet::neuralnet_rprop+_04,3.9946,15.9566,2.757,16.735,0.02
mRef153_neuralnet::neuralnet_rprop+_05,4.0751,16.6061,2.9691,16.1387,0.02
mRef153_neuralnet::neuralnet_backprop_01,4.633,21.4646,3.4606,15.0546,0.05
mRef153_neuralnet::neuralnet_backprop_02,4.2416,17.9909,3.1568,16.5333,0.16
mRef153_neuralnet::neuralnet_backprop_03,3.9522,15.62,2.8804,14.2694,0.15
mRef153_neuralnet::neuralnet_backprop_04,4.2101,17.7248,3.2415,13.3655,0.08
mRef153_neuralnet::neuralnet_backprop_05,3.8593,14.8938,2.888,14.389,0.08
mRef153_nlsr::nlxb_none_01,3.1128,9.6892,2.1804,12.6402,0.03
mRef153_nlsr::nlxb_none_02,3.5645,12.7054,2.6543,14.7311,0.17
mRef153_nlsr::nlxb_none_03,3.2732,10.714,2.3837,14.5501,0.07
mRef153_nlsr::nlxb_none_04,3.4349,11.7984,2.4566,12.6227,0.15
mRef153_nlsr::nlxb_none_05,3.6524,13.34,2.5986,15.8084,0.16
mRef153_nnet::nnet_none_01,3.6802,13.5442,2.6882,15.4999,0.01
mRef153_nnet::nnet_none_02,3.2249,10.4002,2.188,13.9728,0.02
mRef153_nnet::nnet_none_03,3.2253,10.4023,2.1869,13.9974,0.02
mRef153_nnet::nnet_none_04,3.0865,9.5264,2.2336,11.6499,0.01
mRef153_nnet::nnet_none_05,3.5573,12.6545,2.5495,15.1218,0
mRef153_qrnn::qrnn.fit_none_01,3.2636,10.6514,2.0063,14.7512,0.16
mRef153_qrnn::qrnn.fit_none_02,3.3559,11.262,2.1349,15.2816,0.22
mRef153_qrnn::qrnn.fit_none_03,3.454,11.93,2.174,15.284,0.13
mRef153_qrnn::qrnn.fit_none_04,4.0658,16.5308,2.4558,17.296,0.22
mRef153_qrnn::qrnn.fit_none_05,3.54,12.5316,2.1362,16.864,0.17
mRef153_radiant.model::nn_none_01,3.4375,11.8164,2.5071,14.638,0.05
mRef153_radiant.model::nn_none_02,3.3593,11.2851,2.4986,13.3586,0.05
mRef153_radiant.model::nn_none_03,3.2251,10.4016,2.1894,13.9894,0.06
mRef153_radiant.model::nn_none_04,3.387,11.4715,2.459,15.2159,0.04
mRef153_radiant.model::nn_none_05,3.1803,10.1145,2.2334,13.6559,0.05
mRef153_rminer::fit_none_01,3.1128,9.6892,2.1804,12.6402,0.03
mRef153_rminer::fit_none_02,3.5795,12.813,2.596,15.0302,0.05
mRef153_rminer::fit_none_03,3.2253,10.4025,2.187,14.0016,0.05
mRef153_rminer::fit_none_04,3.1819,10.1244,2.2348,13.5191,0.06
mRef153_rminer::fit_none_05,3.1128,9.6892,2.1804,12.6403,0.05
mRef153_RSNNS::mlp_Rprop_01,3.6772,13.522,2.5733,14.7693,0.19
mRef153_RSNNS::mlp_Rprop_02,3.5905,12.8914,2.6789,14.7429,0.22
mRef153_RSNNS::mlp_Rprop_03,3.5938,12.9152,2.6923,14.7522,0.2
mRef153_RSNNS::mlp_Rprop_04,3.1838,10.1368,2.2135,13.3449,0.19
mRef153_RSNNS::mlp_Rprop_05,3.5521,12.6175,2.5703,13.6401,0.21
mRef153_RSNNS::mlp_BackpropBatch_01,3.689,13.609,2.751,14.2974,2.14
mRef153_RSNNS::mlp_BackpropBatch_02,3.5172,12.3706,2.5655,14.3855,1.96
mRef153_RSNNS::mlp_BackpropBatch_03,3.7233,13.8632,2.7689,14.3074,2.15
mRef153_RSNNS::mlp_BackpropBatch_04,3.5288,12.4523,2.5977,14.1675,1.95
mRef153_RSNNS::mlp_BackpropBatch_05,3.7144,13.7971,2.741,14.2729,2.14
mRef153_RSNNS::mlp_BackpropChunk_01,3.8022,14.4564,2.882,15.1591,0.22
mRef153_RSNNS::mlp_BackpropChunk_02,3.8741,15.0087,2.7408,15.8037,0.22
mRef153_RSNNS::mlp_BackpropChunk_03,3.7057,13.7324,2.783,14.4056,0.21
mRef153_RSNNS::mlp_BackpropChunk_04,3.913,15.3119,2.9628,13.802,0.21
mRef153_RSNNS::mlp_BackpropChunk_05,3.5933,12.9118,2.7446,13.481,0.2
mRef153_RSNNS::mlp_BackpropMomentum_01,4.0633,16.5104,3.1325,14.1593,0.22
mRef153_RSNNS::mlp_BackpropMomentum_02,3.6449,13.2851,2.6511,13.9347,0.2
mRef153_RSNNS::mlp_BackpropMomentum_03,4.3944,19.3105,3.4413,14.5625,0.22
mRef153_RSNNS::mlp_BackpropMomentum_04,4.4774,20.0473,3.659,14.461,0.21
mRef153_RSNNS::mlp_BackpropMomentum_05,3.4853,12.1476,2.5131,14.3828,0.2
mRef153_RSNNS::mlp_BackpropWeightDecay_01,3.4319,11.7782,2.3273,15.2656,0.2
mRef153_RSNNS::mlp_BackpropWeightDecay_02,3.779,14.281,2.89,14.3467,0.21
mRef153_RSNNS::mlp_BackpropWeightDecay_03,3.8541,14.8541,2.9645,14.5796,0.22
mRef153_RSNNS::mlp_BackpropWeightDecay_04,3.446,11.8747,2.5804,13.7806,0.41
mRef153_RSNNS::mlp_BackpropWeightDecay_05,3.7632,14.1617,2.8983,13.6367,0.19
mRef153_RSNNS::mlp_Quickprop_01,7.174,51.467,5.4379,22.0533,2
mRef153_RSNNS::mlp_Quickprop_02,6.3871,40.7949,4.9348,16.9337,2.2
mRef153_RSNNS::mlp_Quickprop_03,27.3088,745.7695,24.1969,50.0261,2.08
mRef153_RSNNS::mlp_Quickprop_04,8.1528,66.4688,6.2517,24.5588,1.99
mRef153_RSNNS::mlp_Quickprop_05,9.5212,90.6534,7.3506,25.7246,2.2
