mDette.pfa,mDette.time.mean,mDette.RMSE.min,mDette.RMSE.med,mDette.RMSE.d51,mDette.MAE.med,mDette.WAE.med,mDette.npfa,mDette.time.rank,mDette.RMSE.rank,mDette.RMSEmed.rank,mDette.RMSEd51.rank,mDette.MAE.rank,mDette.WAE.rank,mFriedman.pfa,mFriedman.time.mean,mFriedman.RMSE.min,mFriedman.RMSE.med,mFriedman.RMSE.d51,mFriedman.MAE.med,mFriedman.WAE.med,mFriedman.npfa,mFriedman.time.rank,mFriedman.RMSE.rank,mFriedman.RMSEmed.rank,mFriedman.RMSEd51.rank,mFriedman.MAE.rank,mFriedman.WAE.rank,mIshigami.pfa,mIshigami.time.mean,mIshigami.RMSE.min,mIshigami.RMSE.med,mIshigami.RMSE.d51,mIshigami.MAE.med,mIshigami.WAE.med,mIshigami.npfa,mIshigami.time.rank,mIshigami.RMSE.rank,mIshigami.RMSEmed.rank,mIshigami.RMSEd51.rank,mIshigami.MAE.rank,mIshigami.WAE.rank,mRef153.pfa,mRef153.time.mean,mRef153.RMSE.min,mRef153.RMSE.med,mRef153.RMSE.d51,mRef153.MAE.med,mRef153.WAE.med,mRef153.npfa,mRef153.time.rank,mRef153.RMSE.rank,mRef153.RMSEmed.rank,mRef153.RMSEd51.rank,mRef153.MAE.rank,mRef153.WAE.rank,uDmod2.pfa,uDmod2.time.mean,uDmod2.RMSE.min,uDmod2.RMSE.med,uDmod2.RMSE.d51,uDmod2.MAE.med,uDmod2.WAE.med,uDmod2.npfa,uDmod2.time.rank,uDmod2.RMSE.rank,uDmod2.RMSEmed.rank,uDmod2.RMSEd51.rank,uDmod2.MAE.rank,uDmod2.WAE.rank,uDreyfus1.pfa,uDreyfus1.time.mean,uDreyfus1.RMSE.min,uDreyfus1.RMSE.med,uDreyfus1.RMSE.d51,uDreyfus1.MAE.med,uDreyfus1.WAE.med,uDreyfus1.npfa,uDreyfus1.time.rank,uDreyfus1.RMSE.rank,uDreyfus1.RMSEmed.rank,uDreyfus1.RMSEd51.rank,uDreyfus1.MAE.rank,uDreyfus1.WAE.rank,uGauss2.pfa,uGauss2.time.mean,uGauss2.RMSE.min,uGauss2.RMSE.med,uGauss2.RMSE.d51,uGauss2.MAE.med,uGauss2.WAE.med,uGauss2.npfa,uGauss2.time.rank,uGauss2.RMSE.rank,uGauss2.RMSEmed.rank,uGauss2.RMSEd51.rank,uGauss2.MAE.rank,uGauss2.WAE.rank,uNeuroOne.pfa,uNeuroOne.time.mean,uNeuroOne.RMSE.min,uNeuroOne.RMSE.med,uNeuroOne.RMSE.d51,uNeuroOne.MAE.med,uNeuroOne.WAE.med,uNeuroOne.npfa,uNeuroOne.time.rank,uNeuroOne.RMSE.rank,uNeuroOne.RMSEmed.rank,uNeuroOne.RMSEd51.rank,uNeuroOne.MAE.rank,uNeuroOne.WAE.rank
CaDENCE::cadence.fit_optim,7.072,0.3277,2.5664,2.2387,1.2936,17.3208,12,46,8,43,58,31,45,CaDENCE::cadence.fit_optim,9.226,0.016,0.0863,0.0703,0.0442,0.364,12,50,14,39,58,30,43,CaDENCE::cadence.fit_optim,14.912,1.0465,1.6993,0.6528,0.8815,5.3208,12,50,30,27,50,25,27,CaDENCE::cadence.fit_optim,3.666,3.2677,3.7049,0.4372,2.6819,15.6761,12,51,17,28,50,29,48,CaDENCE::cadence.fit_optim,2.31,0.0688,0.0805,0.0117,0.0582,0.2385,12,47,21,18,21,14,22,CaDENCE::cadence.fit_optim,1.03,0.0032,0.6701,0.6669,0.3727,1.9004,12,43,9,59,59,59,59,CaDENCE::cadence.fit_optim,2.32,2.4041,3.1503,0.7462,2.3988,10.7996,12,42,7,8,26,6,10,CaDENCE::cadence.fit_optim,0.298,0.2831,0.2831,0,0.231,0.5816,12,37,14,12,3,3,19
CaDENCE::cadence.fit_psoptim,11.258,3.1663,3.6338,0.4675,2.1362,22.3798,13,54,52,49,43,46,52,CaDENCE::cadence.fit_psoptim,12.056,0.095,0.1148,0.0198,0.0739,0.4058,13,52,47,46,44,36,49,CaDENCE::cadence.fit_psoptim,14.936,2.6775,2.7432,0.0656999999999996,2.3281,8.8488,13,51,49,48,26,50,47,CaDENCE::cadence.fit_psoptim,7.65,3.7348,3.8749,0.1401,2.7851,15.8749,13,56,41,36,22,34,50,CaDENCE::cadence.fit_psoptim,5.052,0.2114,0.3238,0.1124,0.2711,0.6808,13,52,46,59,58,59,56,CaDENCE::cadence.fit_psoptim,4.512,0.4218,0.572,0.1502,0.3001,1.6829,13,52,60,58,56,57,58,CaDENCE::cadence.fit_psoptim,5.752,11.1566,15.421,4.2644,12.0091,37.0326,13,50,51,52,54,53,51,CaDENCE::cadence.fit_psoptim,4.244,0.5523,0.7577,0.2054,0.58,1.9676,13,53,55,57,57,57,57
CaDENCE::cadence.fit_Rprop,17.178,4.6664,5.7488,1.0824,3.4794,31.0108,14,58,56,54,51,53,55,CaDENCE::cadence.fit_Rprop,22.516,0.085,0.1295,0.0445,0.0858,0.5842,14,58,45,51,52,46,57,CaDENCE::cadence.fit_Rprop,36.926,1.3422,2.3133,0.9711,1.3927,8.8022,14,59,35,31,53,28,46,CaDENCE::cadence.fit_Rprop,9.946,3.7332,4.3519,0.6187,3.0787,16.5513,14,58,40,53,55,47,55,CaDENCE::cadence.fit_Rprop,5.784,0.182,0.2615,0.0795,0.2061,0.6887,14,55,43,46,54,44,57,CaDENCE::cadence.fit_Rprop,3.762,0.3995,1.129,0.7295,0.8219,2.2557,14,51,59,60,60,60,60,CaDENCE::cadence.fit_Rprop,5.81,11.7899,17.6638,5.8739,12.7742,39.4495,14,51,52,54,59,55,53,CaDENCE::cadence.fit_Rprop,2.786,0.3054,0.3248,0.0194,0.2626,0.7872,14,50,44,41,44,40,47
caret::avNNet_none,0.252,0.3175,0.3514,0.0339,0.2681,1.8536,15,18,7,2,13,2,6,caret::avNNet_none,0.288,0.0123,0.0197,0.0074,0.0162,0.0727,15,17,12,13,33,13,14,caret::avNNet_none,0.418,1.031,1.6339,0.6029,1.3615,4.7983,15,12,29,26,49,27,25,caret::avNNet_none,0.042,3.2329,3.3749,0.142,2.3825,12.7439,15,14,11,10,23,9,1,caret::avNNet_none,0.024,0.0512,0.0558,0.0046,0.0454,0.1561,15,15,12,6,13,6,11,caret::avNNet_none,0.018,0.0262,0.0359,0.0097,0.0282,0.1115,15,18,16,12,24,12,12,caret::avNNet_none,0.086,2.424,3.2653,0.8413,2.6499,9.8629,15,18,8,9,28,9,8,caret::avNNet_none,0.01,0.2904,0.2946,0.00419999999999998,0.2437,0.6434,15,14,33,31,38,29,34
deepdive::deepnet_adam,0.738,3.0971,3.0971,0,2.064,18.6373,16,28,50,45,1,45,49,deepdive::deepnet_adam,0.768,0.0875,0.0875,0,0.0764,0.2699,16,28,46,40,1,42,41,deepdive::deepnet_adam,0.902,2.5913,2.5913,0,2.0819,10.0604,16,23,44,40,1,37,51,deepdive::deepnet_adam,0.638,3.7605,3.7605,0,2.6651,15.3279,16,34,43,29,1,26,42,deepdive::deepnet_adam,0.572,0.3189,0.3189,0,0.2113,0.7209,16,35,60,58,1,45,59,deepdive::deepnet_adam,0.564,0.0304,0.0304,0,0.0265,0.0644,16,37,17,11,1,11,11,deepdive::deepnet_adam,0.618,16.8843,16.8843,0,11.6361,46.6218,16,33,54,53,1,52,54,deepdive::deepnet_adam,0.562,0.2946,0.2946,0,0.2459,0.5582,16,39,39,32,4,33,4
deepdive::deepnet_gradientDescent,7.266,4.431,4.431,0,3.2628,20.7622,17,47,55,52,2,52,51,deepdive::deepnet_gradientDescent,7.642,0.1474,0.1474,0,0.1154,0.4581,17,47,56,53,2,54,51,deepdive::deepnet_gradientDescent,9.062,3.0218,3.0218,0,2.494,10.236,17,46,55,54,2,54,53,deepdive::deepnet_gradientDescent,5.964,4.1805,4.1805,0,3.1843,14.4946,17,53,54,50,2,52,31,deepdive::deepnet_gradientDescent,5.326,0.2699,0.2699,0,0.2369,0.5509,17,53,59,52,2,54,51,deepdive::deepnet_gradientDescent,5.162,0.3429,0.3429,0,0.2801,0.7346,17,54,54,44,2,54,40,deepdive::deepnet_gradientDescent,5.934,28.8118,28.8118,0,25.177,67.7823,17,52,60,59,2,59,58,deepdive::deepnet_gradientDescent,5.16,0.3666,0.3666,0,0.3105,0.6748,17,55,53,50,5,50,39
deepdive::deepnet_momentum,7.434,4.199,4.199,0,3.1011,18.5512,18,48,54,51,3,51,48,deepdive::deepnet_momentum,7.848,0.1363,0.1363,0,0.1061,0.486,18,48,54,52,3,52,52,deepdive::deepnet_momentum,9.22,2.5791,2.5791,0,2.0107,8.7569,18,47,43,39,3,34,45,deepdive::deepnet_momentum,6.09,3.8424,3.8424,0,2.7879,15.0474,18,54,47,34,3,35,38,deepdive::deepnet_momentum,5.46,0.2656,0.2656,0,0.2355,0.5269,18,54,58,51,3,52,45,deepdive::deepnet_momentum,5.46,0.3429,0.3429,0,0.2801,0.7341,18,56,55,45,3,55,39,deepdive::deepnet_momentum,6.176,28.8104,28.8104,0,25.1756,67.802,18,53,59,58,3,58,59,deepdive::deepnet_momentum,5.348,0.3544,0.3544,0,0.3001,0.6152,18,56,52,48,6,48,27
deepdive::deepnet_rmsProp,0.758,2.7205,2.7205,0,1.8705,16.178,19,29,47,44,4,44,43,deepdive::deepnet_rmsProp,0.772,0.1287,0.1287,0,0.099,0.4133,19,29,53,50,4,50,50,deepdive::deepnet_rmsProp,0.892,2.6728,2.6728,0,2.306,7.1452,19,22,48,44,4,47,36,deepdive::deepnet_rmsProp,0.638,4.0384,4.0384,0,3.029,15.7099,19,35,52,45,4,45,49,deepdive::deepnet_rmsProp,0.558,0.2252,0.2252,0,0.158,0.5513,19,34,48,41,4,38,52,deepdive::deepnet_rmsProp,0.566,0.1184,0.1184,0,0.0878,0.3446,19,38,33,27,4,28,29,deepdive::deepnet_rmsProp,0.62,18.3426,18.3426,0,12.6957,49.5614,19,34,55,55,4,54,55,deepdive::deepnet_rmsProp,0.552,0.3161,0.3161,0,0.2695,0.5981,19,38,49,37,7,42,23
deepnet::nn.train_BP,0.648,0.5308,0.6403,0.1095,0.5135,2.7237,20,23,23,18,21,20,16,deepnet::nn.train_BP,0.664,0.0396,0.0967,0.0571,0.0838,0.2139,20,21,32,42,55,45,36,deepnet::nn.train_BP,0.77,1.0536,1.4687,0.4151,1.019,6.8677,20,16,31,25,47,26,33,deepnet::nn.train_BP,0.206,3.4561,3.874,0.4179,2.9819,15.8992,20,26,27,35,49,44,51,deepnet::nn.train_BP,0.092,0.0563,0.0608,0.0045,0.049,0.1446,20,24,16,8,11,10,10,deepnet::nn.train_BP,0.084,0.0139,0.0704,0.0565,0.0451,0.2219,20,27,15,17,44,16,20,deepnet::nn.train_BP,0.32,3.4032,6.483,3.0798,4.8425,17.3581,20,27,20,29,49,30,27,deepnet::nn.train_BP,0.084,0.283,0.283,0,0.2314,0.5653,20,28,9,7,8,14,6
elmNNRcpp::elm_train_extremeML,0.004,7.3193,7.6899,0.3706,5.9574,32.3344,21,1,59,57,39,56,57,elmNNRcpp::elm_train_extremeML,0,0.1516,0.1734,0.0218,0.1379,0.5055,21,1,57,56,46,55,53,elmNNRcpp::elm_train_extremeML,0,3.0949,3.259,0.1641,2.6511,11.3823,21,1,56,55,41,55,55,elmNNRcpp::elm_train_extremeML,0,16.4917,18.7626,2.2709,15.3993,53.2953,21,1,60,60,59,60,60,elmNNRcpp::elm_train_extremeML,0,0.2589,0.2648,0.00589999999999996,0.2308,0.5419,21,1,55,50,15,48,50,elmNNRcpp::elm_train_extremeML,0,0.3407,0.4066,0.0659,0.2973,1.0342,21,2,53,56,48,56,56,elmNNRcpp::elm_train_extremeML,0,20.3911,23.5586,3.1675,20.1337,51.5475,21,1,56,56,50,57,56,elmNNRcpp::elm_train_extremeML,0,0.865,0.9526,0.0876,0.7905,2.2943,21,1,58,58,56,58,58
ELMR::OSelm_train.formula_extremeML,0.018,6.3469,7.231,0.8841,5.5344,32.0052,22,2,57,55,49,55,56,ELMR::OSelm_train.formula_extremeML,0.008,0.1677,0.1924,0.0247,0.1538,0.5716,22,2,59,57,48,57,56,ELMR::OSelm_train.formula_extremeML,0.008,3.2348,3.284,0.0491999999999999,2.6674,12.016,22,2,57,56,23,56,56,ELMR::OSelm_train.formula_extremeML,0,9.4764,15.5973,6.1209,12.5855,41.9893,22,2,59,59,60,59,59,ELMR::OSelm_train.formula_extremeML,0,0.2613,0.2735,0.0122,0.2358,0.5366,22,2,57,54,22,53,49,ELMR::OSelm_train.formula_extremeML,0,0.3987,0.4505,0.0518,0.3027,1.1845,22,3,58,57,41,58,57,ELMR::OSelm_train.formula_extremeML,0.014,27.8077,31.2976,3.4899,25.2946,82.5683,22,2,58,60,51,60,60,ELMR::OSelm_train.formula_extremeML,0,0.9735,1.0466,0.0730999999999999,0.864,2.4817,22,2,59,59,55,59,59
EnsembleBase::Regression.Batch.Fit_none,0.026,0.877,13.9426,13.0656,11.3013,47.5398,23,3,34,60,60,60,60,EnsembleBase::Regression.Batch.Fit_none,0.092,0.0245,0.0262,0.0017,0.0181,0.1321,23,3,23,18,17,16,23,EnsembleBase::Regression.Batch.Fit_none,0.132,0.6342,0.8141,0.1799,0.5735,3.9523,23,3,4,15,43,11,22,EnsembleBase::Regression.Batch.Fit_none,0.016,3.074,3.438,0.364,2.4557,13.5954,23,7,1,14,45,12,9,EnsembleBase::Regression.Batch.Fit_none,0.006,0.0618,0.0638,0.00199999999999999,0.0504,0.1716,23,3,18,11,9,11,12,EnsembleBase::Regression.Batch.Fit_none,0.002,0.0922,0.1151,0.0229,0.0834,0.3335,23,6,29,25,32,25,28,EnsembleBase::Regression.Batch.Fit_none,0.03,2.7901,3.8821,1.092,3.0341,11.9878,23,6,12,14,32,15,13,EnsembleBase::Regression.Batch.Fit_none,0.012,0.2826,0.2831,0.0005,0.2326,0.5543,23,18,1,11,25,15,3
