mDette.pfa,mDette.time.mean,mDette.RMSE.min,mDette.RMSE.med,mDette.RMSE.d51,mDette.MAE.med,mDette.WAE.med,mDette.npfa,mDette.time.rank,mDette.RMSE.rank,mDette.RMSEmed.rank,mDette.RMSEd51.rank,mDette.MAE.rank,mDette.WAE.rank,mFriedman.pfa,mFriedman.time.mean,mFriedman.RMSE.min,mFriedman.RMSE.med,mFriedman.RMSE.d51,mFriedman.MAE.med,mFriedman.WAE.med,mFriedman.npfa,mFriedman.time.rank,mFriedman.RMSE.rank,mFriedman.RMSEmed.rank,mFriedman.RMSEd51.rank,mFriedman.MAE.rank,mFriedman.WAE.rank,mIshigami.pfa,mIshigami.time.mean,mIshigami.RMSE.min,mIshigami.RMSE.med,mIshigami.RMSE.d51,mIshigami.MAE.med,mIshigami.WAE.med,mIshigami.npfa,mIshigami.time.rank,mIshigami.RMSE.rank,mIshigami.RMSEmed.rank,mIshigami.RMSEd51.rank,mIshigami.MAE.rank,mIshigami.WAE.rank,mRef153.pfa,mRef153.time.mean,mRef153.RMSE.min,mRef153.RMSE.med,mRef153.RMSE.d51,mRef153.MAE.med,mRef153.WAE.med,mRef153.npfa,mRef153.time.rank,mRef153.RMSE.rank,mRef153.RMSEmed.rank,mRef153.RMSEd51.rank,mRef153.MAE.rank,mRef153.WAE.rank,uDmod2.pfa,uDmod2.time.mean,uDmod2.RMSE.min,uDmod2.RMSE.med,uDmod2.RMSE.d51,uDmod2.MAE.med,uDmod2.WAE.med,uDmod2.npfa,uDmod2.time.rank,uDmod2.RMSE.rank,uDmod2.RMSEmed.rank,uDmod2.RMSEd51.rank,uDmod2.MAE.rank,uDmod2.WAE.rank,uDreyfus1.pfa,uDreyfus1.time.mean,uDreyfus1.RMSE.min,uDreyfus1.RMSE.med,uDreyfus1.RMSE.d51,uDreyfus1.MAE.med,uDreyfus1.WAE.med,uDreyfus1.npfa,uDreyfus1.time.rank,uDreyfus1.RMSE.rank,uDreyfus1.RMSEmed.rank,uDreyfus1.RMSEd51.rank,uDreyfus1.MAE.rank,uDreyfus1.WAE.rank,uGauss2.pfa,uGauss2.time.mean,uGauss2.RMSE.min,uGauss2.RMSE.med,uGauss2.RMSE.d51,uGauss2.MAE.med,uGauss2.WAE.med,uGauss2.npfa,uGauss2.time.rank,uGauss2.RMSE.rank,uGauss2.RMSEmed.rank,uGauss2.RMSEd51.rank,uGauss2.MAE.rank,uGauss2.WAE.rank,uNeuroOne.pfa,uNeuroOne.time.mean,uNeuroOne.RMSE.min,uNeuroOne.RMSE.med,uNeuroOne.RMSE.d51,uNeuroOne.MAE.med,uNeuroOne.WAE.med,uNeuroOne.npfa,uNeuroOne.time.rank,uNeuroOne.RMSE.rank,uNeuroOne.RMSEmed.rank,uNeuroOne.RMSEd51.rank,uNeuroOne.MAE.rank,uNeuroOne.WAE.rank
RSNNS::mlp_Rprop,0.692,0.7757,1.2553,0.4796,0.9246,7.6985,51,26,33,28,44,26,27,RSNNS::mlp_Rprop,0.706,0.0307,0.0452,0.0145,0.0374,0.166,51,24,29,27,39,27,27,RSNNS::mlp_Rprop,0.84,1.3146,2.3451,1.0305,1.8953,6.501,51,20,34,32,54,32,32,RSNNS::mlp_Rprop,0.202,3.1838,3.5905,0.4067,2.5733,14.7429,51,25,9,24,48,23,34,RSNNS::mlp_Rprop,0.09,0.0447,0.0959,0.0512,0.0717,0.2622,51,23,7,23,46,22,25,RSNNS::mlp_Rprop,0.08,0.0617,0.0689,0.00720000000000001,0.0484,0.2211,51,26,21,16,21,18,19,RSNNS::mlp_Rprop,0.316,3.5732,6.3892,2.816,4.6858,19.1326,51,25,24,28,46,27,30,RSNNS::mlp_Rprop,0.076,0.283,0.3141,0.0311,0.2531,0.7252,51,25,8,36,49,35,42
RSNNS::mlp_SCG,1.156,0.4652,1.7312,1.266,1.2784,7.8765,52,31,19,30,53,30,28,RSNNS::mlp_SCG,1.14,0.0202,0.0218,0.0016,0.017,0.0747,52,31,20,15,16,15,15,RSNNS::mlp_SCG,1.456,0.698,0.7363,0.0383,0.5439,3.0529,52,29,14,8,17,9,9,RSNNS::mlp_SCG,0.326,3.2498,3.2841,0.0343,2.2854,14.4231,52,32,14,5,11,6,29,RSNNS::mlp_SCG,0.132,0.0555,0.0788,0.0233,0.0618,0.207,52,28,15,16,33,18,18,RSNNS::mlp_SCG,0.122,0.0851,0.1018,0.0167,0.0848,0.2408,52,30,28,24,28,26,23,RSNNS::mlp_SCG,0.556,6.2398,6.4892,0.249400000000001,4.8401,20.2438,52,32,40,30,12,29,33,RSNNS::mlp_SCG,0.104,0.2855,0.6216,0.3361,0.51,1.4782,52,30,23,52,59,52,52
RSNNS::mlp_Std_Backpropagation,0.638,0.4789,0.5588,0.0799,0.4219,2.0582,53,22,20,13,19,13,11,RSNNS::mlp_Std_Backpropagation,0.694,0.042,0.09,0.048,0.0761,0.2168,53,22,34,41,53,41,37,RSNNS::mlp_Std_Backpropagation,0.814,2.7659,2.804,0.0381,2.1912,11.0805,53,17,52,50,16,42,54,RSNNS::mlp_Std_Backpropagation,0.234,3.5707,3.6319,0.0611999999999999,2.6701,14.8068,53,30,35,25,14,28,36,RSNNS::mlp_Std_Backpropagation,0.086,0.0788,0.1292,0.0504,0.0999,0.3342,53,21,24,29,45,29,29,RSNNS::mlp_Std_Backpropagation,0.078,0.1127,0.119,0.0063,0.1,0.2547,53,24,32,28,20,29,25,RSNNS::mlp_Std_Backpropagation,0.318,3.4215,4.832,1.4105,3.8106,15.2518,53,26,21,26,36,26,21,RSNNS::mlp_Std_Backpropagation,0.082,0.2834,0.3135,0.0301,0.2457,0.7675,53,27,16,35,48,32,46
snnR::snnR_none,0.14,1.9864,1.9864,0,1.5889,8.8501,54,9,43,34,7,40,32,snnR::snnR_none,0.102,0.0457,0.0839,0.0382,0.0747,0.2113,54,6,38,36,50,38,35,snnR::snnR_none,0.43,0.7757,0.8621,0.0864,0.603,3.473,54,13,20,19,31,13,14,snnR::snnR_none,0.02,4.3529,4.3529,0,3.2423,15.2576,54,10,55,54,6,54,40,snnR::snnR_none,0.02,0.2585,0.2984,0.0399,0.2556,0.6651,54,12,54,56,41,57,55,snnR::snnR_none,0.006,0.3691,0.3691,0,0.2756,0.8531,54,11,57,55,7,51,53,snnR::snnR_none,0.044,8.8419,9.4678,0.6259,6.9147,30.1105,54,7,47,44,21,46,46,snnR::snnR_none,0.004,0.6793,0.6793,0,0.5564,1.6288,54,8,56,55,17,55,53
traineR::train.nnet_none,0.078,0.4539,0.5799,0.126,0.4649,2.6448,55,6,17,15,25,16,15,traineR::train.nnet_none,0.094,0.0112,0.0263,0.0151,0.0209,0.0954,55,4,11,19,40,20,20,traineR::train.nnet_none,0.152,0.6846,0.74,0.0554,0.5453,3.2851,55,6,13,9,25,10,11,traineR::train.nnet_none,0.014,3.1128,3.3913,0.2785,2.4098,13.3731,55,6,3,11,35,10,6,traineR::train.nnet_none,0.016,0.0505,0.0649,0.0144,0.0529,0.1392,55,10,9,12,26,13,7,traineR::train.nnet_none,0,0.0019,0.0022,0.0003,0.0019,0.0076,55,5,3,3,10,4,5,traineR::train.nnet_none,0.018,2.3713,2.602,0.2307,2.0822,8.0308,55,3,5,3,11,3,3,traineR::train.nnet_none,0,0.283,0.283,0,0.2313,0.5675,55,5,3,2,18,10,11
validann::ann_BFGS,1.712,0.273,0.4266,0.1536,0.3155,1.932,56,32,6,6,29,5,7,validann::ann_BFGS,2.5,0.0096,0.0688,0.0592,0.05,0.1513,56,37,8,32,56,32,26,validann::ann_BFGS,5.086,0.6342,0.7284,0.0942000000000001,0.5216,3.3533,56,40,5,7,32,6,13,validann::ann_BFGS,0.904,3.2262,3.3341,0.1079,2.3356,14.3369,56,37,10,6,17,7,22,validann::ann_BFGS,0.676,0.0405,0.0437,0.0032,0.0342,0.1131,56,36,2,3,10,3,5,validann::ann_BFGS,0.35,0.0022,0.0023,0.0000999999999999998,0.0019,0.007,56,35,5,5,8,5,4,validann::ann_BFGS,0.792,2.3571,2.3654,0.0083000000000002,1.864,7.5013,56,35,2,1,6,2,1,validann::ann_BFGS,0.104,0.283,0.283,0,0.2313,0.5675,56,31,10,8,19,11,12
validann::ann_CG,11.228,0.3813,0.4231,0.0418,0.3165,1.8043,57,53,12,5,14,6,4,validann::ann_CG,25.592,0.0163,0.0184,0.0021,0.0145,0.058,57,59,15,11,20,11,10,validann::ann_CG,58.524,0.6427,0.7212,0.0784999999999999,0.5352,3.3323,57,60,6,6,28,8,12,validann::ann_CG,30.46,3.1175,3.2299,0.1124,2.1865,13.2863,57,60,6,3,18,2,5,validann::ann_CG,31.616,0.0536,0.061,0.0074,0.0476,0.1415,57,60,14,9,17,7,9,validann::ann_CG,25.106,0.0035,0.0076,0.0041,0.0061,0.0205,57,60,10,8,15,8,8,validann::ann_CG,34.308,3.5928,6.3016,2.7088,4.7543,17.8412,57,59,26,27,45,28,28,validann::ann_CG,23.762,0.283,0.283,0,0.2313,0.5675,57,60,12,10,20,12,13
validann::ann_L-BFGS-B,1.828,0.4455,1.5927,1.1472,1.1539,8.9132,58,33,16,29,52,29,33,validann::ann_L-BFGS-B,2.702,0.0211,0.0256,0.0045,0.0208,0.0865,58,38,21,16,25,19,16,validann::ann_L-BFGS-B,5.418,0.8502,1.1103,0.2601,0.8812,3.5016,58,42,25,24,45,24,15,validann::ann_L-BFGS-B,1.038,3.238,3.5703,0.3323,2.6699,14.785,58,39,13,23,41,27,35,validann::ann_L-BFGS-B,0.784,0.0691,0.0778,0.0087,0.0617,0.2019,58,37,22,15,18,17,15,validann::ann_L-BFGS-B,0.512,0.0038,0.0084,0.0046,0.0066,0.0207,58,36,11,9,16,9,9,validann::ann_L-BFGS-B,0.84,3.0632,4.0776,1.0144,3.1853,13.2715,58,36,16,16,31,16,17,validann::ann_L-BFGS-B,0.222,0.283,0.283,0,0.2313,0.5675,58,35,11,9,21,13,14
validann::ann_Nelder-Mead,2.126,3.1073,3.5453,0.438,2.7197,17.3854,59,38,51,48,42,49,46,validann::ann_Nelder-Mead,6.334,0.0991,0.1082,0.00910000000000001,0.082,0.3701,59,44,48,44,34,44,44,validann::ann_Nelder-Mead,16.114,2.6029,2.6812,0.0783,2.2886,7.2908,59,52,45,46,27,45,38,validann::ann_Nelder-Mead,22.952,3.9234,4.1325,0.2091,3.1924,14.4615,59,59,50,48,30,53,30,validann::ann_Nelder-Mead,30.686,0.0633,0.1987,0.1354,0.1673,0.4305,59,59,19,38,59,40,35,validann::ann_Nelder-Mead,17.878,0.0833,0.1951,0.1118,0.1633,0.3615,59,59,26,31,52,32,30,validann::ann_Nelder-Mead,29.606,6.7221,7.5819,0.8598,5.9618,22.5839,59,57,41,34,29,35,34,validann::ann_Nelder-Mead,9.006,0.3256,0.3341,0.00850000000000001,0.2793,0.8397,59,57,50,44,43,46,50
validann::ann_SANN,0.172,3.3417,4.0522,0.7105,2.9633,19.6574,60,10,53,50,47,50,50,validann::ann_SANN,0.204,0.1414,0.1485,0.0071,0.1149,0.5629,60,11,55,54,32,53,55,validann::ann_SANN,0.27,2.9199,2.9986,0.0787,2.4922,10.0706,60,10,54,52,29,53,52,validann::ann_SANN,0.14,5.7592,7.3556,1.5964,5.9016,19.8265,60,23,57,57,56,57,57,validann::ann_SANN,0.148,0.2274,0.2546,0.0272,0.199,0.5099,60,29,49,43,36,43,41,validann::ann_SANN,0.142,0.2692,0.3271,0.0579,0.2707,0.6914,60,32,42,38,45,45,35,validann::ann_SANN,0.204,9.9162,14.273,4.3568,11.6041,32.1496,60,22,50,50,55,51,50,validann::ann_SANN,0.168,0.3084,0.3344,0.026,0.2773,0.6937,60,33,47,45,46,44,40
