event,RMSE,MSE,MAE,WAE,time
mFriedman_CaDENCE::cadence.fit_psoptim_05,0.134,0.018,0.0748,0.5792,12.11
mFriedman_CaDENCE::cadence.fit_psoptim_06,0.1018,0.0104,0.0649,0.4976,12.12
mFriedman_CaDENCE::cadence.fit_psoptim_07,0.0923,0.0085,0.0599,0.3433,12.16
mFriedman_CaDENCE::cadence.fit_psoptim_08,0.1104,0.0122,0.0685,0.4598,12.14
mFriedman_CaDENCE::cadence.fit_psoptim_09,0.089,0.0079,0.0758,0.2678,12.14
mFriedman_CaDENCE::cadence.fit_psoptim_10,0.1559,0.0243,0.0768,0.7294,12.05
mFriedman_CaDENCE::cadence.fit_Rprop_01,0.1084,0.0117,0.0673,0.4875,22.75
mFriedman_CaDENCE::cadence.fit_Rprop_02,0.132,0.0174,0.073,0.7281,22.96
mFriedman_CaDENCE::cadence.fit_Rprop_03,0.0629,0.004,0.0441,0.225,22.81
mFriedman_CaDENCE::cadence.fit_Rprop_04,0.095,0.009,0.0597,0.3341,22.82
mFriedman_CaDENCE::cadence.fit_Rprop_05,0.1168,0.0136,0.0706,0.644,22.89
mFriedman_CaDENCE::cadence.fit_Rprop_06,0.1115,0.0124,0.0761,0.5251,22.89
mFriedman_CaDENCE::cadence.fit_Rprop_07,0.1392,0.0194,0.1006,0.5638,22.82
mFriedman_CaDENCE::cadence.fit_Rprop_08,0.0782,0.0061,0.0526,0.3233,22.82
mFriedman_CaDENCE::cadence.fit_Rprop_09,0.1783,0.0318,0.1169,0.8835,22.3
mFriedman_CaDENCE::cadence.fit_Rprop_10,0.05,0.0025,0.0377,0.2094,22.58
mFriedman_deepdive::deepnet_gradientDescent_01,0.1474,0.0217,0.1154,0.4581,7.75
mFriedman_deepdive::deepnet_gradientDescent_02,0.1474,0.0217,0.1154,0.4581,7.86
mFriedman_deepdive::deepnet_gradientDescent_03,0.1474,0.0217,0.1154,0.4581,7.75
mFriedman_deepdive::deepnet_gradientDescent_04,0.1474,0.0217,0.1154,0.4581,7.8
mFriedman_deepdive::deepnet_gradientDescent_05,0.1474,0.0217,0.1154,0.4581,7.83
mFriedman_deepdive::deepnet_gradientDescent_06,0.1474,0.0217,0.1154,0.4581,7.77
mFriedman_deepdive::deepnet_gradientDescent_07,0.1474,0.0217,0.1154,0.4581,7.79
mFriedman_deepdive::deepnet_gradientDescent_08,0.1474,0.0217,0.1154,0.4581,7.8
mFriedman_deepdive::deepnet_gradientDescent_09,0.1474,0.0217,0.1154,0.4581,7.78
mFriedman_deepdive::deepnet_gradientDescent_10,0.1474,0.0217,0.1154,0.4581,7.74
mFriedman_deepdive::deepnet_momentum_01,0.1363,0.0186,0.1061,0.486,8.18
mFriedman_deepdive::deepnet_momentum_02,0.1363,0.0186,0.1061,0.486,8.1
mFriedman_deepdive::deepnet_momentum_03,0.1363,0.0186,0.1061,0.486,8.26
mFriedman_deepdive::deepnet_momentum_04,0.1363,0.0186,0.1061,0.486,8.19
mFriedman_deepdive::deepnet_momentum_05,0.1363,0.0186,0.1061,0.486,8
mFriedman_deepdive::deepnet_momentum_06,0.1363,0.0186,0.1061,0.486,8.13
mFriedman_deepdive::deepnet_momentum_07,0.1363,0.0186,0.1061,0.486,8.02
mFriedman_deepdive::deepnet_momentum_08,0.1363,0.0186,0.1061,0.486,8.11
mFriedman_deepdive::deepnet_momentum_09,0.1363,0.0186,0.1061,0.486,8.14
mFriedman_deepdive::deepnet_momentum_10,0.1363,0.0186,0.1061,0.486,8.29
mFriedman_deepdive::deepnet_rmsProp_01,0.1287,0.0166,0.099,0.4133,0.79
mFriedman_deepdive::deepnet_rmsProp_02,0.1287,0.0166,0.099,0.4133,0.83
mFriedman_deepdive::deepnet_rmsProp_03,0.1287,0.0166,0.099,0.4133,0.83
mFriedman_deepdive::deepnet_rmsProp_04,0.1287,0.0166,0.099,0.4133,0.79
mFriedman_deepdive::deepnet_rmsProp_05,0.1287,0.0166,0.099,0.4133,0.8
mFriedman_deepdive::deepnet_rmsProp_06,0.1287,0.0166,0.099,0.4133,0.79
mFriedman_deepdive::deepnet_rmsProp_07,0.1287,0.0166,0.099,0.4133,0.81
mFriedman_deepdive::deepnet_rmsProp_08,0.1287,0.0166,0.099,0.4133,0.8
mFriedman_deepdive::deepnet_rmsProp_09,0.1287,0.0166,0.099,0.4133,0.85
mFriedman_deepdive::deepnet_rmsProp_10,0.1287,0.0166,0.099,0.4133,0.78
mFriedman_deepdive::deepnet_adam_01,0.0875,0.0077,0.0764,0.2699,0.85
mFriedman_deepdive::deepnet_adam_02,0.0875,0.0077,0.0764,0.2699,0.79
mFriedman_deepdive::deepnet_adam_03,0.0875,0.0077,0.0764,0.2699,0.78
mFriedman_deepdive::deepnet_adam_04,0.0875,0.0077,0.0764,0.2699,0.8
mFriedman_deepdive::deepnet_adam_05,0.0875,0.0077,0.0764,0.2699,0.81
mFriedman_deepdive::deepnet_adam_06,0.0875,0.0077,0.0764,0.2699,0.78
mFriedman_deepdive::deepnet_adam_07,0.0875,0.0077,0.0764,0.2699,0.79
