event,RMSE,MSE,MAE,WAE,time
uDreyfus2_keras::fit_adadelta_06,0.6407,0.4105,0.5519,1.3494,8.02
uDreyfus2_keras::fit_adadelta_07,0.6301,0.3971,0.5331,1.2976,8.11
uDreyfus2_keras::fit_adadelta_08,0.666,0.4436,0.5747,1.4497,8.21
uDreyfus2_keras::fit_adadelta_09,0.856,0.7328,0.6909,1.9742,8.26
uDreyfus2_keras::fit_adadelta_10,0.8102,0.6564,0.6329,1.8686,8.3
uDreyfus2_keras::fit_adagrad_01,0.3651,0.1333,0.2769,0.9486,1.86
uDreyfus2_keras::fit_adagrad_02,0.3723,0.1386,0.2767,0.9674,1.59
uDreyfus2_keras::fit_adagrad_03,0.3029,0.0917,0.228,0.8186,7.47
uDreyfus2_keras::fit_adagrad_04,0.3003,0.0902,0.2336,0.8005,7.58
uDreyfus2_keras::fit_adagrad_05,0.3623,0.1313,0.281,0.9316,3.33
uDreyfus2_keras::fit_adagrad_06,0.3814,0.1455,0.2779,1.0134,2.94
uDreyfus2_keras::fit_adagrad_07,0.3731,0.1392,0.2825,0.9742,2.54
uDreyfus2_keras::fit_adagrad_08,0.3794,0.144,0.2762,1.0117,1.21
uDreyfus2_keras::fit_adagrad_09,0.3603,0.1298,0.2797,0.9299,2.91
uDreyfus2_keras::fit_adagrad_10,0.3678,0.1352,0.2775,0.9684,2.17
uDreyfus2_keras::fit_adam_01,0.1715,0.0294,0.1328,0.4613,1.28
uDreyfus2_keras::fit_adam_02,0.143,0.0205,0.1181,0.3592,2.95
uDreyfus2_keras::fit_adam_03,0.3754,0.1409,0.3031,0.8438,1.24
uDreyfus2_keras::fit_adam_04,0.1422,0.0202,0.1089,0.4367,3.8
uDreyfus2_keras::fit_adam_05,0.1286,0.0165,0.1066,0.2984,2
uDreyfus2_keras::fit_adam_06,0.1105,0.0122,0.0873,0.291,2.21
uDreyfus2_keras::fit_adam_07,0.1425,0.0203,0.1132,0.3851,2.37
uDreyfus2_keras::fit_adam_08,0.1306,0.0171,0.1052,0.3804,2.24
uDreyfus2_keras::fit_adam_09,0.1438,0.0207,0.1177,0.3301,1.64
uDreyfus2_keras::fit_adam_10,0.3668,0.1345,0.2893,0.9271,0.73
uDreyfus2_keras::fit_adamax_01,0.1522,0.0232,0.115,0.3261,7.74
uDreyfus2_keras::fit_adamax_02,0.3585,0.1285,0.2864,0.8634,2.43
uDreyfus2_keras::fit_adamax_03,0.1239,0.0153,0.0972,0.4168,3.58
uDreyfus2_keras::fit_adamax_04,0.3555,0.1264,0.2828,0.8908,3.16
uDreyfus2_keras::fit_adamax_05,0.1125,0.0127,0.0885,0.3325,4.6
uDreyfus2_keras::fit_adamax_06,0.1507,0.0227,0.1175,0.4513,4.69
