event,RMSE,MSE,MAE,WAE,time
mIshigami_validann::ann_BFGS_11,0.706,0.4984,0.54,3.0339,4.77
mIshigami_validann::ann_BFGS_12,2.1234,4.5088,1.7206,6.2779,4.81
mIshigami_validann::ann_BFGS_13,0.743,0.5521,0.5491,2.9166,4.91
mIshigami_validann::ann_BFGS_14,0.9141,0.8355,0.6901,3.711,5.02
mIshigami_validann::ann_BFGS_15,0.889,0.7903,0.6814,3.9129,4.83
mIshigami_validann::ann_BFGS_16,0.7547,0.5695,0.5402,3.5798,5.05
mIshigami_validann::ann_BFGS_17,2.2832,5.2128,1.8431,6.819,4.77
mIshigami_validann::ann_BFGS_18,2.2348,4.9941,1.8432,6.036,4.8
mIshigami_validann::ann_BFGS_19,2.4288,5.8992,2.1249,6.015,4.72
mIshigami_validann::ann_BFGS_20,2.2922,5.2541,1.8808,6.528,4.91
mIshigami_validann::ann_L-BFGS-B_01,1.4606,2.1335,1.1744,5.4074,5.17
mIshigami_validann::ann_L-BFGS-B_02,1.5846,2.5109,1.2108,6.3825,5.36
mIshigami_validann::ann_L-BFGS-B_03,2.3464,5.5056,1.9659,6.0988,4.85
mIshigami_validann::ann_L-BFGS-B_04,2.2376,5.0068,1.831,6.4588,5.31
mIshigami_validann::ann_L-BFGS-B_05,0.9002,0.8104,0.6498,3.5796,5.39
mIshigami_validann::ann_L-BFGS-B_06,0.7991,0.6385,0.5963,2.9564,4.87
mIshigami_validann::ann_L-BFGS-B_07,0.7612,0.5795,0.5618,2.9933,5.08
mIshigami_validann::ann_L-BFGS-B_08,2.3654,5.595,1.9896,5.9772,4.94
mIshigami_validann::ann_L-BFGS-B_09,2.3169,5.3678,1.9106,6.0202,5.16
mIshigami_validann::ann_L-BFGS-B_10,0.7329,0.5372,0.5426,2.8209,5.03
mIshigami_validann::ann_L-BFGS-B_11,0.8679,0.7532,0.6681,3.2457,5.11
mIshigami_validann::ann_L-BFGS-B_12,2.0674,4.274,1.6277,6.6728,4.81
mIshigami_validann::ann_L-BFGS-B_13,0.8601,0.7398,0.6346,3.3542,5.16
mIshigami_validann::ann_L-BFGS-B_14,0.798,0.6369,0.5932,3.1424,5.09
mIshigami_validann::ann_L-BFGS-B_15,1.0868,1.1811,0.8574,3.6047,5.08
mIshigami_validann::ann_L-BFGS-B_16,1.8446,3.4025,1.48,5.551,5.04
mIshigami_validann::ann_L-BFGS-B_17,2.2915,5.2509,1.8896,6.7401,4.98
mIshigami_validann::ann_L-BFGS-B_18,1.5875,2.5201,1.2512,4.8704,5.12
mIshigami_validann::ann_L-BFGS-B_19,0.7665,0.5876,0.563,2.9187,5.24
mIshigami_validann::ann_L-BFGS-B_20,1.123,1.261,0.8724,4.4896,5.17
