event,RMSE,MSE,MAE,WAE,time
uDmod1_brnn::brnn_Gauss-Newton_02,0.0451,0.002,0.0364,0.1167,0.02
uDmod1_brnn::brnn_Gauss-Newton_03,0.0451,0.002,0.0364,0.1167,0.01
uDmod1_brnn::brnn_Gauss-Newton_04,0.5884,0.3462,0.5069,1.0104,0
uDmod1_brnn::brnn_Gauss-Newton_05,0.5884,0.3462,0.5069,1.0104,0
uDmod1_brnn::brnn_Gauss-Newton_06,0.5884,0.3462,0.5069,1.0104,0
uDmod1_brnn::brnn_Gauss-Newton_07,0.0451,0.002,0.0364,0.1166,0.03
uDmod1_brnn::brnn_Gauss-Newton_08,0.0451,0.002,0.0364,0.1166,0.01
uDmod1_brnn::brnn_Gauss-Newton_09,0.5884,0.3462,0.5069,1.0104,0
uDmod1_brnn::brnn_Gauss-Newton_10,0.0451,0.002,0.0364,0.1166,0
uDmod1_caret::avNNet_none_01,0.0662,0.0044,0.0443,0.2795,0.01
uDmod1_caret::avNNet_none_02,0.0956,0.0091,0.0718,0.284,0.01
uDmod1_caret::avNNet_none_03,0.069,0.0048,0.0522,0.2331,0.03
uDmod1_caret::avNNet_none_04,0.1144,0.0131,0.0818,0.3886,0.02
uDmod1_caret::avNNet_none_05,0.1026,0.0105,0.0739,0.4659,0.02
uDmod1_caret::avNNet_none_06,0.0666,0.0044,0.0535,0.1785,0.01
uDmod1_caret::avNNet_none_07,0.1188,0.0141,0.0897,0.2983,0.01
uDmod1_caret::avNNet_none_08,0.0667,0.0044,0.0547,0.1893,0.04
uDmod1_caret::avNNet_none_09,0.1047,0.011,0.0795,0.2369,0.02
uDmod1_caret::avNNet_none_10,0.0759,0.0058,0.057,0.1943,0.03
uDmod1_CaDENCE::cadence.fit_optim_01,0.1296,0.0168,0.076,0.5734,2.75
uDmod1_CaDENCE::cadence.fit_optim_02,0.1348,0.0182,0.0749,0.6368,2.7
uDmod1_CaDENCE::cadence.fit_optim_03,0.05,0.0025,0.0381,0.142,2.34
uDmod1_CaDENCE::cadence.fit_optim_04,0.2041,0.0416,0.1028,0.9033,2.75
uDmod1_CaDENCE::cadence.fit_optim_05,0.1613,0.026,0.0894,0.7237,2.73
uDmod1_CaDENCE::cadence.fit_optim_06,0.2799,0.0784,0.2023,0.7241,1.75
uDmod1_CaDENCE::cadence.fit_optim_07,0.1529,0.0234,0.084,0.712,2.64
uDmod1_CaDENCE::cadence.fit_optim_08,0.5657,0.32,0.3778,1.358,1.97
uDmod1_CaDENCE::cadence.fit_optim_09,0.1477,0.0218,0.1056,0.3949,2.82
uDmod1_CaDENCE::cadence.fit_optim_10,0.1636,0.0268,0.0879,0.7456,2.61
uDmod1_CaDENCE::cadence.fit_psoptim_01,0.3723,0.1386,0.2901,0.9567,5.7
uDmod1_CaDENCE::cadence.fit_psoptim_02,0.3075,0.0946,0.2594,0.7663,5.39
uDmod1_CaDENCE::cadence.fit_psoptim_03,0.3051,0.0931,0.2518,0.7694,5.45
uDmod1_CaDENCE::cadence.fit_psoptim_04,0.3308,0.1094,0.2645,0.9503,5.34
uDmod1_CaDENCE::cadence.fit_psoptim_05,0.2784,0.0775,0.2262,0.5959,5.33
uDmod1_CaDENCE::cadence.fit_psoptim_06,0.3961,0.1569,0.3113,0.8518,5.29
uDmod1_CaDENCE::cadence.fit_psoptim_07,0.304,0.0924,0.2613,0.6568,5.38
uDmod1_CaDENCE::cadence.fit_psoptim_08,0.3122,0.0975,0.2452,0.7625,5.26
uDmod1_CaDENCE::cadence.fit_psoptim_09,0.3628,0.1316,0.302,0.8326,5.08
uDmod1_CaDENCE::cadence.fit_psoptim_10,0.2998,0.0899,0.2417,0.7374,5.3
uDmod1_CaDENCE::cadence.fit_Rprop_01,0.2584,0.0668,0.19,0.6078,6.87
uDmod1_CaDENCE::cadence.fit_Rprop_02,0.4532,0.2054,0.2895,1.2162,6.35
uDmod1_CaDENCE::cadence.fit_Rprop_03,0.2861,0.0818,0.2129,0.7269,6.79
uDmod1_CaDENCE::cadence.fit_Rprop_04,0.3232,0.1045,0.2326,0.7921,6.84
uDmod1_CaDENCE::cadence.fit_Rprop_05,0.5934,0.3521,0.3517,2.3695,6.61
uDmod1_CaDENCE::cadence.fit_Rprop_06,0.5108,0.2609,0.3226,1.3516,6.37
uDmod1_CaDENCE::cadence.fit_Rprop_07,0.3003,0.0902,0.2226,0.7449,6.41
uDmod1_CaDENCE::cadence.fit_Rprop_08,0.304,0.0924,0.2236,0.8274,6.87
uDmod1_CaDENCE::cadence.fit_Rprop_09,0.3707,0.1374,0.252,1.0512,6.57
uDmod1_CaDENCE::cadence.fit_Rprop_10,0.3175,0.1008,0.2396,0.6509,6.56
uDmod1_deepdive::deepnet_gradientDescent_01,0.3353,0.1124,0.2912,0.7067,5.36
uDmod1_deepdive::deepnet_gradientDescent_02,0.3353,0.1124,0.2912,0.7067,5.36
uDmod1_deepdive::deepnet_gradientDescent_03,0.3353,0.1124,0.2912,0.7067,5.46
uDmod1_deepdive::deepnet_gradientDescent_04,0.3353,0.1124,0.2912,0.7067,5.69
uDmod1_deepdive::deepnet_gradientDescent_05,0.3353,0.1124,0.2912,0.7067,5.44
uDmod1_deepdive::deepnet_gradientDescent_06,0.3353,0.1124,0.2912,0.7067,5.33
uDmod1_deepdive::deepnet_gradientDescent_07,0.3353,0.1124,0.2912,0.7067,5.34
uDmod1_deepdive::deepnet_gradientDescent_08,0.3353,0.1124,0.2912,0.7067,5.72
uDmod1_deepdive::deepnet_gradientDescent_09,0.3353,0.1124,0.2912,0.7067,5.47
uDmod1_deepdive::deepnet_gradientDescent_10,0.3353,0.1124,0.2912,0.7067,5.33
uDmod1_deepdive::deepnet_momentum_01,0.332,0.1103,0.2891,0.7441,5.61
uDmod1_deepdive::deepnet_momentum_02,0.332,0.1103,0.2891,0.7441,5.69
uDmod1_deepdive::deepnet_momentum_03,0.332,0.1103,0.2891,0.7441,5.75
uDmod1_deepdive::deepnet_momentum_04,0.332,0.1103,0.2891,0.7441,5.57
uDmod1_deepdive::deepnet_momentum_05,0.332,0.1103,0.2891,0.7441,5.81
uDmod1_deepdive::deepnet_momentum_06,0.332,0.1103,0.2891,0.7441,5.72
uDmod1_deepdive::deepnet_momentum_07,0.332,0.1103,0.2891,0.7441,5.7
uDmod1_deepdive::deepnet_momentum_08,0.332,0.1103,0.2891,0.7441,5.75
uDmod1_deepdive::deepnet_momentum_09,0.332,0.1103,0.2891,0.7441,5.94
uDmod1_deepdive::deepnet_momentum_10,0.332,0.1103,0.2891,0.7441,5.94
uDmod1_deepdive::deepnet_rmsProp_01,0.1728,0.0299,0.1257,0.4478,0.62
uDmod1_deepdive::deepnet_rmsProp_02,0.1728,0.0299,0.1257,0.4478,0.56
uDmod1_deepdive::deepnet_rmsProp_03,0.1728,0.0299,0.1257,0.4478,0.56
uDmod1_deepdive::deepnet_rmsProp_04,0.1728,0.0299,0.1257,0.4478,0.56
uDmod1_deepdive::deepnet_rmsProp_05,0.1728,0.0299,0.1257,0.4478,0.57
uDmod1_deepdive::deepnet_rmsProp_06,0.1728,0.0299,0.1257,0.4478,0.57
