"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"EnsembleBase::Regression.Batch.Fit_none",0.038,2.5261,2.6857,0.1596,2.0641,8.3968,23
"h2o::h2o.deeplearning_first-order",4.372,2.2985,2.3587,0.0601999999999996,1.8349,7.699,24
"keras::fit_adadelta",73.92,4.496,5.1564,0.660399999999999,3.8748,16.8817,25
"keras::fit_adagrad",52.48,6.5047,6.7324,0.2277,5.3578,20.204,26
"keras::fit_adam",3.62,2.8614,3.0075,0.1461,2.3994,8.8657,27
"keras::fit_adamax",6.082,2.5783,3.192,0.6137,2.5827,8.6394,28
"keras::fit_nadam",3.166,5.2915,12.2499,6.9584,9.8464,27.3131,29
"keras::fit_rmsprop",2.552,6.6698,13.1877,6.5179,10.5806,32.315,30
"keras::fit_sgd",13.988,3.4196,3.9121,0.4925,3.1018,14.8772,31
"MachineShop::fit_none",0.034,2.2521,2.2681,0.016,1.7734,7.5718,32
"minpack.lm::nlsLM_none",0.068,2.2329,2.2329,0,1.7383,6.9429,33
"monmlp::monmlp.fit_BFGS",0.226,2.7246,5.7229,2.9983,4.8218,14.7964,34
"monmlp::monmlp.fit_Nelder-Mead",0.574,12.1868,12.7777,0.5909,9.8127,35.0537,35
"neuralnet::neuralnet_backprop",0.622,2.9109,3.4962,0.5853,2.6743,11.9971,36
"neuralnet::neuralnet_rprop-",0.308,2.6198,3.8778,1.258,2.9818,13.8198,37
"neuralnet::neuralnet_rprop+",0.298,2.9603,3.7997,0.8394,2.8334,14.1152,38
"neuralnet::neuralnet_sag",7.138,2.2972,41.6253,39.3281,36.1679,91.5205,39
"neuralnet::neuralnet_slr",0.44,2.8881,4.3263,1.4382,3.1765,14.4615,40
"nlsr::nlxb_none",0.156,2.2321,2.6129,0.3808,2.0484,8.2482,41
"nnet::nnet_none",0.032,2.238,2.2557,0.0177,1.7541,7.3381,42
"qrnn::qrnn.fit_none",0.158,2.7155,2.7208,0.00530000000000008,2.0888,8.1916,43
"radiant.model::nn_none",0.054,2.3275,6.301,3.9735,5.1479,17.4222,44
"rminer::fit_none",0.084,2.2452,2.2628,0.0175999999999998,1.7485,7.3946,45
"RSNNS::mlp_BackpropBatch",3.478,14.5624,19.907,5.3446,16.5809,52.1745,46
"RSNNS::mlp_BackpropChunk",0.368,2.9425,2.982,0.0395000000000003,2.416,10.511,47
"RSNNS::mlp_BackpropMomentum",0.334,2.8791,2.9074,0.0282999999999998,2.2991,9.6946,48
"RSNNS::mlp_BackpropWeightDecay",0.372,2.8682,3.0805,0.2123,2.3657,8.8148,49
"RSNNS::mlp_Quickprop",3.696,23.6323,24.1323,0.5,20.1405,57.6774,50
"RSNNS::mlp_Rprop",0.32,2.9859,10.3291,7.3432,7.2486,33.1339,51
"RSNNS::mlp_SCG",0.558,2.7001,4.7483,2.0482,3.6042,16.9268,52
"RSNNS::mlp_Std_Backpropagation",0.37,3.0594,3.2011,0.1417,2.5444,9.0758,53
"snnR::snnR_none",0.038,11.6175,11.6175,0,9.5749,25.9147,54
"traineR::train.nnet_none",0.038,2.2431,2.3022,0.0590999999999999,1.7999,7.5122,55
"validann::ann_BFGS",0.932,2.2606,2.3192,0.0585999999999998,1.8215,7.5409,56
"validann::ann_CG",41.996,2.362,2.3962,0.0341999999999998,1.9105,8.2206,57
"validann::ann_L-BFGS-B",1.06,2.7065,3.4311,0.7246,2.6492,9.899,58
"validann::ann_Nelder-Mead",42.914,9.2009,11.1644,1.9635,9.1979,26.4353,59
"validann::ann_SANN",0.204,12.6829,15.2562,2.5733,12.8,37.0901,60
